timestamp,open,high,low,close,volume
2024-01-01 00:00:00+00:00,2282.26,2296.8,2281.65,2296.79,595.0857364
2024-01-01 00:15:00+00:00,2296.83,2296.85,2289.48,2290.81,465.9950236
2024-01-01 00:30:00+00:00,2290.96,2294.38,2288.79,2293.38,386.5105704
2024-01-01 00:45:00+00:00,2293.39,2297.04,2292.5,2295.76,203.54106
2024-01-01 01:00:00+00:00,2295.68,2297.29,2293.08,2296.75,173.0977614
2024-01-01 01:15:00+00:00,2296.76,2300.3,2296.76,2299.23,238.6777655
2024-01-01 01:30:00+00:00,2299.48,2306.4,2299.48,2303.26,403.3107492
2024-01-01 01:45:00+00:00,2303.27,2306.45,2303.27,2303.74,306.5589149
2024-01-01 02:00:00+00:00,2303.75,2304.83,2298.05,2299.05,262.2342014
2024-01-01 02:15:00+00:00,2299.05,2299.06,2295.99,2296.8,138.3493841
2024-01-01 02:30:00+00:00,2296.79,2299.81,2294.82,2294.86,306.7000716
2024-01-01 02:45:00+00:00,2294.87,2295.5,2291.69,2293.38,164.4265518
2024-01-01 03:00:00+00:00,2293.38,2294.59,2288.83,2289.18,232.7902799
2024-01-01 03:15:00+00:00,2289.17,2289.17,2281.2,2282.32,240.4668563
2024-01-01 03:30:00+00:00,2282.33,2283.99,2272.95,2276.28,420.2570108
2024-01-01 03:45:00+00:00,2276.48,2277.39,2271.06,2273.59,361.7706285
2024-01-01 04:00:00+00:00,2273.59,2278.58,2271.66,2273.71,426.2290983
2024-01-01 04:15:00+00:00,2273.7,2274.35,2265.35,2271.41,511.7315891
2024-01-01 04:30:00+00:00,2271.57,2275.88,2271.54,2274.22,201.483234
2024-01-01 04:45:00+00:00,2274.23,2279.36,2272.79,2279.36,202.5766661
2024-01-01 05:00:00+00:00,2279.36,2283.07,2276.33,2283.07,332.6331451
2024-01-01 05:15:00+00:00,2283.06,2283.06,2277.18,2278.5,202.3977946
2024-01-01 05:30:00+00:00,2278.51,2280.32,2276.3,2278.96,193.2226987
2024-01-01 05:45:00+00:00,2278.95,2278.95,2272.96,2275.85,161.4311967
2024-01-01 06:00:00+00:00,2275.86,2278.41,2274.44,2275.07,190.4146502
2024-01-01 06:15:00+00:00,2275.08,2280.26,2274.44,2276.14,333.0496825
2024-01-01 06:30:00+00:00,2276.14,2282.26,2275.35,2281.31,163.6562416
2024-01-01 06:45:00+00:00,2281.13,2283.09,2280.78,2282.14,80.7243298
2024-01-01 07:00:00+00:00,2281.97,2286.24,2281.44,2284.3,248.7308385
2024-01-01 07:15:00+00:00,2284.14,2285.77,2282.44,2285.55,227.6522071
2024-01-01 07:30:00+00:00,2285.55,2287.6,2283.88,2283.88,97.3684659
2024-01-01 07:45:00+00:00,2283.8,2285.17,2282.23,2284.36,132.2456693
2024-01-01 08:00:00+00:00,2284.36,2287.0,2284.23,2284.93,184.8205831
2024-01-01 08:15:00+00:00,2284.92,2286.72,2282.37,2282.99,179.3366755
2024-01-01 08:30:00+00:00,2283.0,2283.55,2280.47,2281.28,143.9459474
2024-01-01 08:45:00+00:00,2281.29,2286.81,2281.28,2286.81,85.4387274
2024-01-01 09:00:00+00:00,2286.81,2291.14,2286.8,2289.53,488.2400837
2024-01-01 09:15:00+00:00,2289.53,2291.89,2287.84,2289.63,358.6335751
2024-01-01 09:30:00+00:00,2289.64,2297.93,2289.64,2297.08,427.1585791
2024-01-01 09:45:00+00:00,2296.93,2299.98,2296.92,2299.56,273.5520016
2024-01-01 10:00:00+00:00,2299.57,2302.19,2299.57,2300.56,216.8471623
2024-01-01 10:15:00+00:00,2300.47,2302.18,2297.63,2299.12,238.2500481
2024-01-01 10:30:00+00:00,2299.12,2301.02,2299.12,2301.02,172.2600472
2024-01-01 10:45:00+00:00,2301.02,2303.09,2300.69,2302.2,206.5460242
2024-01-01 11:00:00+00:00,2302.21,2304.97,2301.93,2303.46,126.4570217
2024-01-01 11:15:00+00:00,2303.46,2304.11,2300.41,2302.13,285.1116193
2024-01-01 11:30:00+00:00,2302.13,2302.87,2299.46,2299.85,88.7415846
2024-01-01 11:45:00+00:00,2299.87,2304.89,2299.48,2304.33,110.4828326
2024-01-01 12:00:00+00:00,2304.58,2306.24,2300.79,2300.92,159.3148113
2024-01-01 12:15:00+00:00,2300.93,2302.89,2300.16,2302.89,131.871408
2024-01-01 12:30:00+00:00,2302.9,2307.1,2302.48,2306.39,180.5986203
2024-01-01 12:45:00+00:00,2306.39,2306.39,2299.11,2299.72,238.7714123
2024-01-01 13:00:00+00:00,2299.73,2303.66,2298.24,2303.08,185.5134233
2024-01-01 13:15:00+00:00,2303.08,2306.6,2303.08,2306.21,136.6920701
2024-01-01 13:30:00+00:00,2306.21,2307.45,2303.84,2307.45,178.3403563
2024-01-01 13:45:00+00:00,2307.5,2308.3,2304.59,2304.59,127.1641102
2024-01-01 14:00:00+00:00,2304.28,2304.3,2295.5,2299.22,452.4481651
